"","Scenario2","DiffinOccs","Yes"
"1","Baseline",100,52.5514771709937
"2","Wetter",80.8347529812606,49.7379454926625
"3","Drier",100.425894378194,51.3054830287206
"4","Hotter",33.1345826235094,55.8106169296987
"5","Amplified Extremes",99.8296422487223,51.9503546099291
"6","Small Perturbations, drier/hotter",77.0017035775128,56.6416040100251
"7","Large Perturbations, drier/hotter",41.7376490630324,58.1947743467934
"8","Small Perturbations, wetter/hotter",65.587734241908,58.1132075471698
"9","Large Perturbations, wetter/hotter",14.9914821124361,41.8052256532066
"10","Small Perturbations, extremes/hotter",73.679727427598,56.8331143232589
"11","Large Perturbations, extremes/hotter",31.4310051107325,53.0172413793103
