"","Scenario2","No","Yes"
"1","Amplified Extremes",45.7446808510638,54.2553191489362
"2","Baseline",44.8522829006267,55.1477170993733
"3","Drier",46.0400348128808,53.9599651871192
"4","Hotter",37.4461979913917,62.5538020086083
"5","Large Perturbations, drier/hotter",43.9429928741093,56.0570071258907
"6","Large Perturbations, extremes/hotter",38.5057471264368,61.4942528735632
"7","Large Perturbations, wetter/hotter",29.6912114014252,70.3087885985748
"8","Small Perturbations, drier/hotter",44.6741854636591,55.3258145363409
"9","Small Perturbations, extremes/hotter",43.6268068331143,56.3731931668857
"10","Small Perturbations, wetter/hotter",43.2452830188679,56.7547169811321
"11","Wetter",45.0733752620545,54.9266247379455
