"","Scenario2","Protected","Presences","TotalCells","TotalProp"
"1","Baseline","No",1002,2234,100
"2","Baseline","Yes",1232,2234,100
"3","Wetter","No",860,1908,85.4073410922113
"4","Wetter","Yes",1048,1908,85.4073410922113
"5","Drier","No",1058,2298,102.864816472695
"6","Drier","Yes",1240,2298,102.864816472695
"7","Hotter","No",261,697,31.1996418979409
"8","Hotter","Yes",436,697,31.1996418979409
"9","Amplified Extremes","No",1032,2256,100.984780662489
"10","Amplified Extremes","Yes",1224,2256,100.984780662489
"11","Small Perturbations, drier/hotter","No",713,1596,71.4413607878245
"12","Small Perturbations, drier/hotter","Yes",883,1596,71.4413607878245
"13","Large Perturbations, drier/hotter","No",370,842,37.6902417188899
"14","Large Perturbations, drier/hotter","Yes",472,842,37.6902417188899
"15","Small Perturbations, wetter/hotter","No",573,1325,59.3106535362578
"16","Small Perturbations, wetter/hotter","Yes",752,1325,59.3106535362578
"17","Large Perturbations, wetter/hotter","No",125,421,18.8451208594449
"18","Large Perturbations, wetter/hotter","Yes",296,421,18.8451208594449
"19","Small Perturbations, extremes/hotter","No",664,1522,68.1289167412713
"20","Small Perturbations, extremes/hotter","Yes",858,1522,68.1289167412713
"21","Large Perturbations, extremes/hotter","No",268,696,31.1548791405551
"22","Large Perturbations, extremes/hotter","Yes",428,696,31.1548791405551
