"","FuturePresAbs","Scenario2","VariableHuman","meanVal","seVal","maxVal","minVal","Mean_std"
"1","Presence","Baseline","Dry Season Baseflow",0.04,0,2.51949426830307,-0.6626306905744,"0.04  +/-  0"
"2","Presence","Baseline","Elevation",296.39,6.73,1407.3271484375,1.26549637317657,"296.39  +/-  6.73"
"3","Presence","Baseline","Fall Pulse",0.01,0.01,14.5065075602314,-1.22608562494253,"0.01  +/-  0.01"
"4","Presence","Baseline","Largest Annual Storm",-14.16,0.55,10.9320179410707,-92.735464341904,"-14.16  +/-  0.55"
"5","Presence","Baseline","Peak Flow: 10-Year Flood",-29.12,1.18,148.549981363312,-206.154653236797,"-29.12  +/-  1.18"
"6","Presence","Baseline","Peak Flow: 2-Year Flood",-9.8,0.32,38.4390685082336,-68.8363296291552,"-9.8  +/-  0.32"
"7","Presence","Baseline","Spring Recession",1.61,0.03,11.87093668564,-1.03391467293546,"1.61  +/-  0.03"
"8","Presence","Baseline","Wet Season Baseflow (Low)",-0.01,0,0.496228223369088,-0.410903042309216,"-0.01  +/-  0"
"9","Presence","Baseline","Wet Season Baseflow (Med)",0,0,1.3047685413056,-0.860554175016352,"0  +/-  0"
"10","Presence","Wetter","Dry Season Baseflow",0.04,0,0.374454596334304,-0.659916461015264,"0.04  +/-  0"
"11","Presence","Wetter","Elevation",227.93,5.97,1407.3271484375,1.26549637317657,"227.93  +/-  5.97"
"12","Presence","Wetter","Fall Pulse",0.04,0.01,14.8401631375437,-1.17460120367427,"0.04  +/-  0.01"
"13","Presence","Wetter","Largest Annual Storm",-16.55,0.62,11.5161206489542,-91.6708449180384,"-16.55  +/-  0.62"
"14","Presence","Wetter","Peak Flow: 10-Year Flood",-34.44,1.34,148.375482849446,-205.46303581321,"-34.44  +/-  1.34"
"15","Presence","Wetter","Peak Flow: 2-Year Flood",-11.42,0.37,38.4394207975424,-68.5383975894368,"-11.42  +/-  0.37"
"16","Presence","Wetter","Spring Recession",2.25,0.05,12.4582799879373,-0.97032039941472,"2.25  +/-  0.05"
"17","Presence","Wetter","Wet Season Baseflow (Low)",-0.02,0,0.493816420065632,-0.3759098949456,"-0.02  +/-  0"
