"","Metric","T_Statistic","PValue","DegreesOfFreedom","nBaseline","nFuture","Scenario","Scenario2","PValueR"
"1","Elev",-0.612582180659842,0.540183681007345,4487.87039299147,2234,2256,"Amplified Extremes","Amplified Extremes",0.54018
"2","Elev",0,1,4466,2234,2234,"Baseline","Baseline",1
"3","Elev",0.333248092643102,0.738962441843009,4529.65137112948,2234,2298,"Drier","Drier",0.73896
"4","Elev",6.13932682835235,9.07376306133496e-10,4097.55249147611,2234,1908,"Wetter","Wetter",0
"5","Elev",-2.49449080709159,0.0126638484162388,3200.98856341913,2234,1522,"Extremes/hotter (Small)","Small Perturbations, extremes/hotter",0.01266
"6","Elev",-3.46897401950802,0.00052897826604253,3380.2802024294,2234,1596,"Drier/hotter (Small)","Small Perturbations, drier/hotter",0.00053
"7","Elev",-0.473160142755992,0.636136784775641,2728.22694612518,2234,1325,"Wetter/hotter (Small)","Small Perturbations, wetter/hotter",0.63614
"8","Elev",4.12822322270698,4.26213550433627e-05,516.512703197928,2234,421,"Wetter/hotter (Large)","Large Perturbations, wetter/hotter",4e-05
"9","Elev",-2.68711893728353,0.00732621847374751,1004.25693800316,2234,696,"Extremes/hotter (Large)","Large Perturbations, extremes/hotter",0.00733
"10","Elev",-2.45811295948818,0.0141359562805697,997.955149407246,2234,697,"Hotter","Hotter",0.01414
"11","Elev",-1.72864875509283,0.0841016718699143,1343.78786405807,2234,842,"Drier/hotter (Large)","Large Perturbations, drier/hotter",0.0841
"12","DS_Mag_50",-0.579583071399757,0.562232524586402,3556.25528811358,2234,2256,"Amplified Extremes","Amplified Extremes",0.56223
"13","DS_Mag_50",0,1,3576,2234,2234,"Baseline","Baseline",1
"14","DS_Mag_50",-3.14234885035238,0.00168966513778712,3582.35806336652,2234,2298,"Drier","Drier",0.00169
"15","DS_Mag_50",-1.95834486951771,0.0502769210184595,3177.76092340005,2234,1908,"Wetter","Wetter",0.05028
"16","DS_Mag_50",-8.03759919123991,1.36683154092814e-15,2645.57963799705,2234,1522,"Extremes/hotter (Small)","Small Perturbations, extremes/hotter",0
"17","DS_Mag_50",-7.34434367820361,2.71103592712052e-13,2748.27780433709,2234,1596,"Drier/hotter (Small)","Small Perturbations, drier/hotter",0
"18","DS_Mag_50",-8.19215535232231,4.31776866393847e-16,2183.2930725147,2234,1325,"Wetter/hotter (Small)","Small Perturbations, wetter/hotter",0
"19","DS_Mag_50",-19.0459155188791,6.46333197384818e-62,526.582263213829,2234,421,"Wetter/hotter (Large)","Large Perturbations, wetter/hotter",0
"20","DS_Mag_50",-11.1989106374834,3.60387812004291e-27,811.514255899566,2234,696,"Extremes/hotter (Large)","Large Perturbations, extremes/hotter",0
"21","DS_Mag_50",-10.8191342017554,1.12762747814779e-25,865.218778568903,2234,697,"Hotter","Hotter",0
"22","DS_Mag_50",-13.7247283183115,1.56824888274096e-39,1043.23138300695,2234,842,"Drier/hotter (Large)","Large Perturbations, drier/hotter",0
"23","FA_Mag",-0.540776611709395,0.5887088889076,2545.07844900654,2234,2256,"Amplified Extremes","Amplified Extremes",0.58871
"24","FA_Mag",0,1,2618,2234,2234,"Baseline","Baseline",1
"25","FA_Mag",11.2894112107903,6.93094185340928e-29,2587.32740691539,2234,2298,"Drier","Drier",0
"26","FA_Mag",1.85629395054146,0.0635318189363546,2446.48763386839,2234,1908,"Wetter","Wetter",0.06353
"27","FA_Mag",-6.63241080060006,4.09165487814615e-11,2330.31352068231,2234,1522,"Extremes/hotter (Small)","Small Perturbations, extremes/hotter",0
"28","FA_Mag",2.99314094761792,0.00279549863860907,1973.52639809421,2234,1596,"Drier/hotter (Small)","Small Perturbations, drier/hotter",0.0028
"29","FA_Mag",-1.40977366038624,0.158789838229339,1696.32385357122,2234,1325,"Wetter/hotter (Small)","Small Perturbations, wetter/hotter",0.15879
"30","FA_Mag",-16.7486524452142,2.27049840551281e-50,503.399925410409,2234,421,"Wetter/hotter (Large)","Large Perturbations, wetter/hotter",0
"31","FA_Mag",-19.6248728056717,4.00391284105467e-76,1430.43761615986,2234,696,"Extremes/hotter (Large)","Large Perturbations, extremes/hotter",0
"32","FA_Mag",-19.8366377784641,5.65226554021222e-78,1504.10277840439,2234,697,"Hotter","Hotter",0
"33","FA_Mag",-6.01252983925754,2.33327947615481e-09,1383.46260729211,2234,842,"Drier/hotter (Large)","Large Perturbations, drier/hotter",0
"34","Peak_10",1.23569233471746,0.216885858789085,927.402711140289,2234,2256,"Amplified Extremes","Amplified Extremes",0.21689
"35","Peak_10",0,1,926,2234,2234,"Baseline","Baseline",1
"36","Peak_10",1.56943481402576,0.116879006188989,951.842843416324,2234,2298,"Drier","Drier",0.11688
"37","Peak_10",1.18163507292659,0.237757644243271,689.951446025108,2234,1908,"Wetter","Wetter",0.23776
"38","Peak_10",4.17108202567683,4.36566636388008e-05,219.640015601082,2234,1522,"Extremes/hotter (Small)","Small Perturbations, extremes/hotter",4e-05
"39","Peak_10",6.53346482198226,3.12561984917389e-10,273.548227602197,2234,1596,"Drier/hotter (Small)","Small Perturbations, drier/hotter",0
"40","Peak_10",6.89365435830323,9.51079618602214e-11,174.805976129975,2234,1325,"Wetter/hotter (Small)","Small Perturbations, wetter/hotter",0
"41","Peak_10",2.33053036204812,0.0231943523849276,59.3789407509755,2234,421,"Wetter/hotter (Large)","Large Perturbations, wetter/hotter",0.02319
