"","Metric","T_Statistic","PValue","DegreesOfFreedom","nBaseline","nFuture","Scenario","Scenario2","PValueR"
"42","Peak_10",8.76838920650992,2.62507171406136e-15,159.057631893265,2234,696,"Extremes/hotter (Large)","Large Perturbations, extremes/hotter",0
"43","Peak_10",5.0138159477109,1.89099073342307e-06,118.470630771498,2234,697,"Hotter","Hotter",0
"44","Peak_10",5.71159528696622,4.64013837349146e-08,177.283154521412,2234,842,"Drier/hotter (Large)","Large Perturbations, drier/hotter",0
"45","Peak_2",3.06977698440214,0.0024421583646118,198.34659140615,2234,2256,"Amplified Extremes","Amplified Extremes",0.00244
"46","Peak_2",0,1,174,2234,2234,"Baseline","Baseline",1
"47","Peak_2",-1.12831852768131,0.260938018661294,154.186790975169,2234,2298,"Drier","Drier",0.26094
"48","Peak_2",3.39851938656245,0.000819821460238364,197.056208802491,2234,1908,"Wetter","Wetter",0.00082
"49","Peak_2",0.143506486624569,0.886122652712638,124.259394035381,2234,1522,"Extremes/hotter (Small)","Small Perturbations, extremes/hotter",0.88612
"50","Peak_2",0.153555401647158,0.878211190760821,123.372099864672,2234,1596,"Drier/hotter (Small)","Small Perturbations, drier/hotter",0.87821
"51","Peak_2",-0.362346949434781,0.717833587474948,103.222234931634,2234,1325,"Wetter/hotter (Small)","Small Perturbations, wetter/hotter",0.71783
"52","Peak_2",-4.83063016699296,0.000231704842258025,14.7279671785155,2234,421,"Wetter/hotter (Large)","Large Perturbations, wetter/hotter",0.00023
"53","Peak_2",-1.70733002805811,0.108938819601286,14.5939323898962,2234,696,"Extremes/hotter (Large)","Large Perturbations, extremes/hotter",0.10894
"54","Peak_2",-3.91263089022146,0.00133883602924824,15.2986440377088,2234,697,"Hotter","Hotter",0.00134
"55","Peak_2",-3.25897809503635,0.00382864209229231,20.5525651798768,2234,842,"Drier/hotter (Large)","Large Perturbations, drier/hotter",0.00383
"56","SP_Mag",-2.68888450906646,0.00720323603382734,3486.4556002255,2234,2256,"Amplified Extremes","Amplified Extremes",0.0072
"57","SP_Mag",0,1,3750,2234,2234,"Baseline","Baseline",1
"58","SP_Mag",-5.54915841655561,3.09784059296682e-08,3289.0642142552,2234,2298,"Drier","Drier",0
"59","SP_Mag",-8.13504280525923,5.69450428929786e-16,3435.44125172202,2234,1908,"Wetter","Wetter",0
"60","SP_Mag",-3.41241600363512,0.000654204546941912,2484.69768661376,2234,1522,"Extremes/hotter (Small)","Small Perturbations, extremes/hotter",0.00065
"61","SP_Mag",-0.896765021260099,0.369924476952404,2692.87394712134,2234,1596,"Drier/hotter (Small)","Small Perturbations, drier/hotter",0.36992
"62","SP_Mag",-8.47148937463166,4.0863224698652e-17,2483.95796738423,2234,1325,"Wetter/hotter (Small)","Small Perturbations, wetter/hotter",0
"63","SP_Mag",-30.0543900947771,1.05366831689816e-127,693.3409783291,2234,421,"Wetter/hotter (Large)","Large Perturbations, wetter/hotter",0
"64","SP_Mag",-10.8956142620849,4.21396581857266e-26,930.879995023708,2234,696,"Extremes/hotter (Large)","Large Perturbations, extremes/hotter",0
"65","SP_Mag",-11.8667105641105,1.44704538493965e-30,1048.0451086465,2234,697,"Hotter","Hotter",0
"66","SP_Mag",-5.05859941337189,4.97713944821067e-07,1057.02899236039,2234,842,"Drier/hotter (Large)","Large Perturbations, drier/hotter",0
"67","Wet_BFL_Mag_10",-0.879778807563266,0.379065004692964,2462.16944328355,2234,2256,"Amplified Extremes","Amplified Extremes",0.37907
"68","Wet_BFL_Mag_10",0,1,2474,2234,2234,"Baseline","Baseline",1
"69","Wet_BFL_Mag_10",-0.40524049369889,0.685337534346556,2356.07255281481,2234,2298,"Drier","Drier",0.68534
"70","Wet_BFL_Mag_10",-2.11832486082137,0.0342711902945041,1990.17275598953,2234,1908,"Wetter","Wetter",0.03427
"71","Wet_BFL_Mag_10",0.775705577401574,0.438066453135564,1277.19083678716,2234,1522,"Extremes/hotter (Small)","Small Perturbations, extremes/hotter",0.43807
"72","Wet_BFL_Mag_10",7.2128146898933,8.5956410434664e-13,1526.62169450189,2234,1596,"Drier/hotter (Small)","Small Perturbations, drier/hotter",0
"73","Wet_BFL_Mag_10",-3.26204368819596,0.00113977165598469,1110.63878759676,2234,1325,"Wetter/hotter (Small)","Small Perturbations, wetter/hotter",0.00114
"74","Wet_BFL_Mag_10",-6.64508014136278,1.24861053989968e-10,330.912747373327,2234,421,"Wetter/hotter (Large)","Large Perturbations, wetter/hotter",0
"75","Wet_BFL_Mag_10",2.30052044419749,0.021905246718427,422.373070820213,2234,696,"Extremes/hotter (Large)","Large Perturbations, extremes/hotter",0.02191
"76","Wet_BFL_Mag_10",-2.36799730763769,0.0182187346528361,567.747660216712,2234,697,"Hotter","Hotter",0.01822
"77","Wet_BFL_Mag_10",2.84201789603026,0.00462880889621716,626.427121399378,2234,842,"Drier/hotter (Large)","Large Perturbations, drier/hotter",0.00463
"78","Wet_BFL_Mag_50",-0.741838063862545,0.458249401723057,2724.34937057935,2234,2256,"Amplified Extremes","Amplified Extremes",0.45825
"79","Wet_BFL_Mag_50",0,1,2812,2234,2234,"Baseline","Baseline",1
"80","Wet_BFL_Mag_50",0.490366604338901,0.623913559266412,2754.62724814609,2234,2298,"Drier","Drier",0.62391
"81","Wet_BFL_Mag_50",-3.8247031056365,0.000134069194425642,2550.2244017555,2234,1908,"Wetter","Wetter",0.00013
"82","Wet_BFL_Mag_50",-4.03558826127951,5.677287876825e-05,1779.9389745106,2234,1522,"Extremes/hotter (Small)","Small Perturbations, extremes/hotter",6e-05
"83","Wet_BFL_Mag_50",1.52732211266989,0.126856634804947,1799.8949371652,2234,1596,"Drier/hotter (Small)","Small Perturbations, drier/hotter",0.12686
"84","Wet_BFL_Mag_50",-8.61719939973199,1.64182708685352e-17,1573.20291616384,2234,1325,"Wetter/hotter (Small)","Small Perturbations, wetter/hotter",0
"85","Wet_BFL_Mag_50",-9.02519417023217,1.73048444382694e-17,318.935638636053,2234,421,"Wetter/hotter (Large)","Large Perturbations, wetter/hotter",0
"86","Wet_BFL_Mag_50",-1.21001261952172,0.226830956964181,513.324320048872,2234,696,"Extremes/hotter (Large)","Large Perturbations, extremes/hotter",0.22683
"87","Wet_BFL_Mag_50",-2.26137619401702,0.0241582102390348,507.753828908523,2234,697,"Hotter","Hotter",0.02416
"88","Wet_BFL_Mag_50",0.444825503051967,0.656585386227162,689.876967710665,2234,842,"Drier/hotter (Large)","Large Perturbations, drier/hotter",0.65659
"89","Q99",2.90403595649376,0.00413908898129461,182.382009124751,2234,2256,"Amplified Extremes","Amplified Extremes",0.00414
"90","Q99",0,1,244,2234,2234,"Baseline","Baseline",1
"91","Q99",2.49610587764379,0.0140619611061373,108.417327852381,2234,2298,"Drier","Drier",0.01406
"92","Q99",-2.48173027556821,0.0140371182697228,171.585868450225,2234,1908,"Wetter","Wetter",0.01404
"93","Q99",-2.23070196768435,0.0301469193822856,50.7746036477568,2234,1522,"Extremes/hotter (Small)","Small Perturbations, extremes/hotter",0.03015
"94","Q99",-2.14617289571088,0.0376676939058821,42.1058207421311,2234,1596,"Drier/hotter (Small)","Small Perturbations, drier/hotter",0.03767
"95","Q99",-3.51418034792717,0.00125138600181272,34.5991636222832,2234,1325,"Wetter/hotter (Small)","Small Perturbations, wetter/hotter",0.00125
"96","Q99",-13.4515931742853,8.63444805337857e-10,15.0413294594544,2234,421,"Wetter/hotter (Large)","Large Perturbations, wetter/hotter",0
"97","Q99",-13.6180377959219,6.2772425266402e-10,15.2124295688779,2234,696,"Extremes/hotter (Large)","Large Perturbations, extremes/hotter",0
"98","Q99",-13.1569764914278,1.5563346050929e-09,14.7063631230253,2234,697,"Hotter","Hotter",0
"99","Q99",-10.5628750249805,4.86232913966234e-08,13.9568736315423,2234,842,"Drier/hotter (Large)","Large Perturbations, drier/hotter",0
