"","FuturePresAbs","Scenario2","Dry Season Baseflow","Fall Pulse","Largest Annual Storm","Peak Flow: 10-Year Flood","Peak Flow: 2-Year Flood","Spring Recession","Wet Season Baseflow (Low)","Wet Season Baseflow (Med)"
"1","Presence","Baseline","0.04  +/-  0","0.01  +/-  0.01","-14.16  +/-  0.55","-29.12  +/-  1.18","-9.8  +/-  0.32","1.61  +/-  0.03","-0.01  +/-  0","0  +/-  0"
"2","Presence","Wetter","0.04  +/-  0","0.04  +/-  0.01","-16.55  +/-  0.62","-34.44  +/-  1.34","-11.42  +/-  0.37","2.25  +/-  0.05","-0.02  +/-  0","0  +/-  0.01"
"3","Presence","Drier","0.04  +/-  0","-0.05  +/-  0.01","-14.18  +/-  0.54","-28.85  +/-  1.16","-9.67  +/-  0.32","1.67  +/-  0.04","-0.01  +/-  0","-0.01  +/-  0"
"4","Presence","Hotter","0.13  +/-  0.01","0.31  +/-  0.01","-28.92  +/-  1.34","-64.61  +/-  3.15","-19.32  +/-  0.89","10.83  +/-  0.55","0  +/-  0","-0.05  +/-  0.01"
"5","Presence","Amplified Extremes","0.03  +/-  0","0  +/-  0.01","-13.92  +/-  0.54","-28.55  +/-  1.16","-9.65  +/-  0.32","1.46  +/-  0.03","-0.01  +/-  0","-0.01  +/-  0"
"6","Presence","Drier/hotter (Small)","0.05  +/-  0","0.05  +/-  0.01","-18.96  +/-  0.72","-41  +/-  1.57","-12.8  +/-  0.44","3.23  +/-  0.15","-0.01  +/-  0","-0.02  +/-  0.01"
"7","Presence","Drier/hotter (Large)","0.12  +/-  0.01","0.22  +/-  0.01","-28.22  +/-  1.19","-60.31  +/-  2.68","-18.02  +/-  0.75","8.75  +/-  0.47","0  +/-  0","-0.06  +/-  0.01"
"8","Presence","Wetter/hotter (Small)","0.06  +/-  0","0.13  +/-  0.01","-21.63  +/-  0.83","-45.96  +/-  1.82","-14.45  +/-  0.5","4.09  +/-  0.18","-0.01  +/-  0","-0.01  +/-  0.01"
"9","Presence","Wetter/hotter (Large)","0.22  +/-  0.01","0.5  +/-  0.02","-41.55  +/-  1.84","-95.1  +/-  4.53","-27.88  +/-  1.28","17.99  +/-  0.76","0  +/-  0.01","-0.06  +/-  0.02"
"10","Presence","Extremes/hotter (Small)","0.06  +/-  0","0.08  +/-  0.01","-19.39  +/-  0.74","-41.75  +/-  1.63","-13.1  +/-  0.45","3.41  +/-  0.16","-0.01  +/-  0","-0.02  +/-  0.01"
"11","Presence","Extremes/hotter (Large)","0.14  +/-  0.01","0.31  +/-  0.02","-28.68  +/-  1.32","-64.34  +/-  3.14","-19.3  +/-  0.88","10.57  +/-  0.55","0  +/-  0","-0.07  +/-  0.01"
