"","Scenario","meanProb","seProb","maxProb","minProb"
"1","Amplified Extremes",-0.00016907081879819,8.962815949071e-05,0.093175682431757,-0.105529447055295
"2","Drier",0.0040524656969681,0.000138906596481751,0.133516648335166,-0.155014498550145
"3","Hotter",0.00961777767074166,0.000473622466182412,0.202024797520248,-0.464793520647935
"4","Large Perturbations, drier/hotter",0.01160704788647,0.000455981820777761,0.195645435456454,-0.449695030496951
"5","Large Perturbations, extremes/hotter",0.0115674673388036,0.000480465983252175,0.198100189981002,-0.468473152684732
"6","Large Perturbations, wetter/hotter",0.0121032600672903,0.000504204205159688,0.206159384061593,-0.456064393560644
"7","Small Perturbations, drier/hotter",0.00113228375780568,0.000273932505970477,0.128352164783521,-0.232441755824418
"8","Small Perturbations, extremes/hotter",-0.000812853123491498,0.000290709539710767,0.131421857814218,-0.333971602839716
"9","Small Perturbations, wetter/hotter",-0.00394116719135315,0.00030492665752388,0.129922007799219,-0.411728827117289
"10","Wetter",-0.00598308830406273,0.000158676056008046,0.067613238676133,-0.304334566543346
