"","Scenario2","DiffinOccs","Yes"
"1","Baseline",100,55.1477170993733
"2","Wetter",85.0649350649351,54.9266247379455
"3","Drier",100.649350649351,53.9599651871192
"4","Hotter",35.3896103896104,62.5538020086083
"5","Amplified Extremes",99.3506493506494,54.2553191489362
"6","Small Perturbations, drier/hotter",71.6720779220779,55.3258145363409
"7","Large Perturbations, drier/hotter",38.3116883116883,56.0570071258907
"8","Small Perturbations, wetter/hotter",61.038961038961,56.7547169811321
"9","Large Perturbations, wetter/hotter",24.025974025974,70.3087885985748
"10","Small Perturbations, extremes/hotter",69.6428571428571,56.3731931668857
"11","Large Perturbations, extremes/hotter",34.7402597402597,61.4942528735632
