OID_,OID1,ID,COMID,Latitude,Longitude,Year,LifeStage,Count,PresAbs,NEAR_FID,NEAR_DIST,pointid,grid_code,Ras_Lat,Ras_Long
1,,U1,20351621,33.392203330000001,-117.517243300000004,2011,BUMIcount,6,1.000000000000000,5303,124.440074202361856,5303,20351621,33.392949710000003,-117.516237129999993
2,,U3,20348891,33.508328069999997,-117.372396300000005,2005,BUMIcount,0,0.000000000000000,2919,70.070960826540897,2919,20348891,33.508915440000003,-117.372647770000000
3,,U6,20348679,33.546635330000001,-117.363002800000004,2005,BUMIcount,0,0.000000000000000,2001,91.082949315405543,2001,20348679,33.546828970000000,-117.362038760000004
4,,U8,20348759,33.530064639999999,-117.410792000000001,2005,BUMIcount,0,0.000000000000000,2445,79.842027565441029,2445,20348891,33.530439330000000,-117.411510750000005
5,,U9,20348891,33.519436509999998,-117.394554400000004,2005,BUMIcount,0,0.000000000000000,2728,39.365110904697332,2728,20348891,33.519672100000001,-117.394230489999998
6,,U11,20348891,33.512495999999999,-117.380976799999999,2005,BUMIcount,0,0.000000000000000,2872,29.007432372085603,2872,20348891,33.512497009999997,-117.381277060000002
7,,U12,20348891,33.510885520000002,-117.377920599999996,2005,BUMIcount,0,0.000000000000000,2894,89.986944349492688,2894,20348891,33.510706300000002,-117.376962329999998
8,,U13,20348357,33.612998529999999,-117.436471900000001,2005,BUMIcount,1,1.000000000000000,473,86.649921921283436,473,20348369,33.613335769999999,-117.435620049999997
9,,U104,22549113,33.386830000000003,-117.318830000000005,2005,BUMIcount,1,1.000000000000000,5450,63.287709403965863,5450,22549113,33.386399269999998,-117.318364939999995
10,,U105,22549113,33.388069999999999,-117.320710000000005,2005,BUMIcount,1,1.000000000000000,5417,22.002115500770863,5417,22549113,33.388197669999997,-117.320521909999997
11,,U106,22548507,33.389840000000000,-117.321740000000005,2005,BUMIcount,2,1.000000000000000,5380,90.222611894820119,5380,22548507,33.389996040000000,-117.322678969999998
12,,U107,22548507,33.391910000000003,-117.320800000000006,2005,BUMIcount,1,1.000000000000000,5336,25.981811758924142,5336,22548507,33.391805540000000,-117.320535149999998
13,,U108,22548555,33.330669999999998,-117.333299999999994,2005,BUMIcount,4,1.000000000000000,6431,26.410716560269403,6431,22548555,33.330437580000002,-117.333204230000007
14,,U109,22549165,33.257770000000001,-117.375339999999994,2005,BUMIcount,1,1.000000000000000,7997,66.870026801763160,7997,22549165,33.258156800000002,-117.375874039999999
15,,U110,22549155,33.277040000000000,-117.377229999999997,2005,BUMIcount,11,1.000000000000000,7551,124.550447118670334,7551,22549155,33.276189879999997,-117.378098960000003
16,,U128,20343093,33.345216669999999,-116.942583299999995,2007,BUMIcount,0,0.000000000000000,6171,47.265968201684991,6171,20343017,33.345302789999998,-116.942075130000006
17,,U199,20330004,33.006715000000000,-116.726749999999996,2008,BUMIcount,35,1.000000000000000,11556,124.093802881724642,11556,20330004,33.007663100000002,-116.726041120000005
18,,U200,20329972,33.016348749999999,-116.724396900000002,2008,BUMIcount,0,0.000000000000000,11448,60.614168062461196,11448,20329972,33.016678640000002,-116.723871880000004
19,,U201,20329972,33.020215000000000,-116.720834999999994,2008,BUMIcount,5,1.000000000000000,11407,84.064863441220609,11407,20329972,33.020281980000000,-116.721719210000003
20,,U202,20329972,33.025385000000000,-116.716965000000002,2008,BUMIcount,1,1.000000000000000,11336,55.059508173763255,11336,20329972,33.025684499999997,-116.717419079999999
21,,U203,20332896,32.870829999999998,-116.608599999999996,2008,BUMIcount,0,0.000000000000000,13677,70.409555032715375,13677,20332896,32.870241219999997,-116.608884079999996
22,,U204,20332896,32.877392780000001,-116.604632800000005,2008,BUMIcount,0,0.000000000000000,13543,7.482693314712447,13543,20332896,32.877444050000001,-116.604576469999998
23,,U205,20332896,32.886811670000000,-116.599921699999996,2008,BUMIcount,1,1.000000000000000,13392,51.293402125700595,13392,20332896,32.886450789999998,-116.600260059999997
24,,U206,20329890,33.055970000000002,-116.690065000000004,2008,BUMIcount,1,1.000000000000000,10837,64.990845887952901,10837,20329890,33.056286980000003,-116.689471269999999
25,,U207,20329884,33.061630000000001,-116.690745000000007,2008,BUMIcount,0,0.000000000000000,10717,80.904426574686966,10717,20329884,33.061704390000003,-116.691594699999996
26,,U208,20329884,33.062959999999997,-116.689044999999993,2008,BUMIcount,0,0.000000000000000,10692,71.936052755793810,10692,20329884,33.063503109999999,-116.689445939999999
27,,U211,20325659,32.569121000000003,-116.762965699999995,2010,BUMIcount,0,0.000000000000000,18144,65.615945582779190,18144,20325659,32.569336210000003,-116.763602840000004
28,,U215,20341817,33.203510000000001,-117.304192999999998,2012,BUMIcount,0,0.000000000000000,8952,100.606463268713270,8952,20341817,33.204231299999996,-117.304828490000006
29,,U216,20329796,33.088518499999999,-116.897938999999994,2012,BUMIcount,1,1.000000000000000,10440,91.754474542588582,10440,20329796,33.089104140000003,-116.897238160000001
